"Error Magnitude (Phase StDev, deg)",MSE_LS_Amp,MSE_WLS_Amp,CRB_Amp,MSE_LS_Phase,MSE_WLS_Phase,CRB_Phase
0.0,0.004880405531663272,0.004880405531663272,0.0024752475247524753,0.0025555211335771505,0.002576151346756118,0.0024752475247524753
3.0,0.0051433994362221494,0.0051433994362221494,0.0024752475247524753,0.0027503752629814715,0.002761633952167432,0.0024752475247524753
6.0,0.005498098200969379,0.005498098200969379,0.0024752475247524753,0.002775952177307433,0.002757771862469599,0.0024752475247524753
9.0,0.005255974187863862,0.005255974187863862,0.0024752475247524753,0.0026861847633521826,0.0026800761430730833,0.0024752475247524753
12.0,0.005381231659641368,0.005381231659641368,0.0024752475247524753,0.00278057927366864,0.0027932352457951588,0.0024752475247524753
15.0,0.0047605981278290984,0.0047605981278290984,0.0024752475247524753,0.0028237011644243882,0.0028201356659061367,0.0024752475247524753
18.0,0.004937455992724693,0.004937455992724693,0.0024752475247524753,0.0028748134496197255,0.002901325586974616,0.0024752475247524753
21.0,0.004852431288314423,0.004852431288314423,0.0024752475247524753,0.0031542220548330955,0.0030908407463418755,0.0024752475247524753
24.0,0.005700415799097546,0.005700415799097546,0.0024752475247524753,0.002726377939630919,0.0027022431169521533,0.0024752475247524753
27.0,0.004842852588967276,0.004842852588967276,0.0024752475247524753,0.0031777798701486696,0.003170334815522638,0.0024752475247524753
30.0,0.005143556963339169,0.005143556963339169,0.0024752475247524753,0.002946007193394078,0.0028770945740344885,0.0024752475247524753
33.0,0.004976097053360645,0.004976097053360645,0.0024752475247524753,0.0028170264430096943,0.0027663587420891323,0.0024752475247524753
36.0,0.005029618058641323,0.005029618058641323,0.0024752475247524753,0.007910024273373444,0.008342059342300444,0.0024752475247524753
39.0,0.005160145339299722,0.005160145339299722,0.0024752475247524753,0.007602753782166642,0.006980653091579679,0.0024752475247524753
42.0,0.005940454829585994,0.005940454829585994,0.0024752475247524753,0.007312917957335161,0.004563011132596929,0.0024752475247524753
45.0,0.005755580272574056,0.005755580272574056,0.0024752475247524753,0.02326713670174715,0.01991972135145787,0.0024752475247524753
