Error_Variance,MSE_VA,MSE_MIMO,MSE_ILS,CRB_VA,CRB_MIMO
0.05,0.02080064540535799,0.01552032491766072,0.13180713094909058,0.0016501650165016502,0.0009625962596259627
0.1,0.045430158385696806,0.03228892454818306,0.3690510494142497,0.0016501650165016502,0.0009625962596259627
0.15000000000000002,0.04820824791769081,0.02712747373534223,0.4647153615500858,0.0016501650165016502,0.0009625962596259627
0.2,0.04014178607021448,0.05547706957562809,0.5236902678628479,0.0016501650165016502,0.0009625962596259627
0.25,0.10442893827294313,1.1279225841116451,1.937016603518453,0.0016501650165016502,0.0009625962596259627
0.3,0.11786287807291851,0.08457844095232182,1.0284160834774205,0.0016501650165016502,0.0009625962596259627
0.35000000000000003,0.06620285117967918,0.06067596220135778,1.2146344796096813,0.0016501650165016502,0.0009625962596259627
0.4,0.0817554096483475,0.06487591530275162,1.2817476392649794,0.0016501650165016502,0.0009625962596259627
0.45,0.1376611659421908,0.10502423936591584,1.8655037469994646,0.0016501650165016502,0.0009625962596259627
0.5,0.09716959328021037,0.07541206235330396,1.7238888575464544,0.0016501650165016502,0.0009625962596259627
