I_Observations,MSE_VA,MSE_MIMO,MSE_ILS,CRB_VA,CRB_MIMO
4.0,0.028647363522393735,0.01668561996678214,0.10806421617217077,0.0024752475247524753,0.001443894389438944
5.0,0.11435428316181222,0.1453610260723397,0.2801498557151655,0.0019801980198019802,0.0011551155115511551
6.0,0.030107325579705926,0.02448590912065319,0.1467931528979607,0.0016501650165016502,0.0009625962596259627
7.0,0.026188639553672677,0.020600352241437154,0.12452544451242648,0.0014144271570014145,0.0008250825082508252
8.0,0.026707926833544563,0.013545055462231078,0.1437173606714909,0.0012376237623762376,0.000721947194719472
9.0,0.04652913062978371,0.01525102826678775,0.14752677097637365,0.0011001100110011,0.0006417308397506417
10.0,0.016871018240847382,0.01060958334701665,0.1348251201721914,0.0009900990099009901,0.0005775577557755776
11.0,0.013757754701430053,0.009111118372582104,0.12843783056815722,0.0009000900090009,0.000525052505250525
12.0,0.017556379911946054,0.009745790793712985,0.12496288260012466,0.0008250825082508251,0.00048129812981298134
13.0,0.014126060242914141,0.011060844599442421,0.12160148214738505,0.0007616146230007616,0.00044427519675044433
14.0,0.016667858248381472,0.010468916605188143,0.1489240053913021,0.0007072135785007072,0.0004125412541254126
15.0,0.015744983955988768,0.00847796968919751,0.11851720194553604,0.0006600660066006601,0.00038503850385038506
16.0,0.009925721458462631,0.007871893667418616,0.1008810841472478,0.0006188118811881188,0.000360973597359736
17.0,0.010294801401004505,0.00919957064384195,0.104624263565136,0.0005824111822947001,0.00033973985633857506
18.0,0.01469989407143961,0.010824506533580434,0.11451545398146928,0.00055005500550055,0.00032086541987532086
19.0,0.06818979475811268,0.012721609559060229,0.15160883375363865,0.0005211047420531526,0.0003039777661976724
20.0,0.009334766352533984,0.006107861993310608,0.09809284668841806,0.0004950495049504951,0.0002887788778877888
21.0,0.012049010335316851,0.006137492939240178,0.10326271059459653,0.0004714757190004715,0.00027502750275027507
22.0,0.012230347958891346,0.008724767946147032,0.11767801462831255,0.00045004500450045,0.0002625262526252625
23.0,0.016294651495302043,0.011872511399165406,0.10692634286623824,0.00043047783039173483,0.000251112067728512
24.0,0.015015565475608648,0.019558702447475027,0.12523887180605936,0.00041254125412541255,0.00024064906490649067
25.0,0.00965019393269866,0.00525861896929652,0.08795158588823603,0.00039603960396039607,0.00023102310231023105
26.0,0.00986375623104332,0.009722780403988494,0.11140790246485381,0.0003808073115003808,0.00022213759837522217
27.0,0.00890907536195185,0.005184759575700072,0.09269813101269479,0.0003667033370003667,0.0002139102799168806
28.0,0.00817771770679159,0.005166926482396502,0.09114995194993834,0.0003536067892503536,0.0002062706270627063
29.0,0.011605332082536312,0.005173580766494726,0.10799178876066975,0.0003414134516899966,0.0001991578468191647
